Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3235,20,T:System.Net.Http.HttpContent,,,,,"using (var responseStream = await response.Content.ReadAsStreamAsync().ConfigureAwait(false))                      {                          var typedBody = await System.Text.Json.JsonSerializer.DeserializeAsync<T>(responseStream, JsonSerializerSettings, cancellationToken).ConfigureAwait(false);                          return new ObjectResponseResult<T>(typedBody, string.Empty);                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3235,20,M:System.Net.Http.HttpContent.ReadAsStreamAsync,,,,,"using (var responseStream = await response.Content.ReadAsStreamAsync().ConfigureAwait(false))                      {                          var typedBody = await System.Text.Json.JsonSerializer.DeserializeAsync<T>(responseStream, JsonSerializerSettings, cancellationToken).ConfigureAwait(false);                          return new ObjectResponseResult<T>(typedBody, string.Empty);                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3219,16,T:System.Net.Http.HttpContent,,,,,var responseText = await response.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3212,12,T:System.Net.Http.HttpContent,,,,,"if (response == null || response.Content == null)              {                  return new ObjectResponseResult<T>(default(T), string.Empty);              }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3177,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3177,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3149,28,T:System.Net.Http.HttpContent,,,,,foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3147,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3147,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3136,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3136,20,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3136,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3129,16,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""priority"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(priority, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3129,16,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""priority"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(priority, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3125,16,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""status"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(status, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,3125,16,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""status"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(status, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2975,20,T:System.Net.Http.HttpContent,,,,,"using (var responseStream = await response.Content.ReadAsStreamAsync().ConfigureAwait(false))                      {                          var typedBody = await System.Text.Json.JsonSerializer.DeserializeAsync<T>(responseStream, JsonSerializerSettings, cancellationToken).ConfigureAwait(false);                          return new ObjectResponseResult<T>(typedBody, string.Empty);                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2975,20,M:System.Net.Http.HttpContent.ReadAsStreamAsync,,,,,"using (var responseStream = await response.Content.ReadAsStreamAsync().ConfigureAwait(false))                      {                          var typedBody = await System.Text.Json.JsonSerializer.DeserializeAsync<T>(responseStream, JsonSerializerSettings, cancellationToken).ConfigureAwait(false);                          return new ObjectResponseResult<T>(typedBody, string.Empty);                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2959,16,T:System.Net.Http.HttpContent,,,,,var responseText = await response.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2952,12,T:System.Net.Http.HttpContent,,,,,"if (response == null || response.Content == null)              {                  return new ObjectResponseResult<T>(default(T), string.Empty);              }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2917,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2917,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2889,28,T:System.Net.Http.HttpContent,,,,,foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;
